filename,N/S
images\augmented\7_7_gray.jpg,0
images\augmented\7_7_original.jpg,0
images\augmented\7_7_sobel.jpg,0
images\augmented\7_8_flip.jpg,0
images\augmented\7_8_flip3.jpg,0
images\augmented\7_8_flip4.jpg,0
images\augmented\7_8_gray.jpg,0
images\augmented\7_8_original.jpg,0
images\augmented\7_8_sobel.jpg,0
images\augmented\8_1_flip.jpg,0
images\augmented\8_1_flip3.jpg,0
images\augmented\8_1_flip4.jpg,0
images\augmented\8_1_gray.jpg,0
images\augmented\8_1_original.jpg,0
images\augmented\8_1_sobel.jpg,0
images\augmented\8_8_flip.jpg,0
images\augmented\8_8_flip3.jpg,0
images\augmented\8_8_flip4.jpg,0
images\augmented\8_8_gray.jpg,0
images\augmented\8_8_original.jpg,0
images\augmented\8_8_sobel.jpg,0
images\augmented\8_9_flip.jpg,0
images\augmented\8_9_flip3.jpg,0
images\augmented\8_9_flip4.jpg,0
images\augmented\8_9_gray.jpg,0
images\augmented\8_9_original.jpg,0
images\augmented\8_9_sobel.jpg,0
images\augmented\9_1_flip.jpg,0
images\augmented\9_1_flip3.jpg,0
images\augmented\9_1_flip4.jpg,0
images\augmented\9_1_gray.jpg,0
images\augmented\9_1_original.jpg,0
images\augmented\9_1_sobel.jpg,0
images\augmented\9_2_flip.jpg,0
images\augmented\9_2_flip3.jpg,0
images\augmented\9_2_flip4.jpg,0
images\augmented\9_2_gray.jpg,0
images\augmented\9_2_original.jpg,0
images\augmented\9_2_sobel.jpg,0
images\augmented\9_3_flip.jpg,0
images\augmented\9_3_flip3.jpg,0
images\augmented\9_3_flip4.jpg,0
images\augmented\9_3_gray.jpg,0
images\augmented\9_3_original.jpg,0
images\augmented\9_3_sobel.jpg,0
images\augmented\9_4_flip.jpg,0
images\augmented\9_4_flip3.jpg,0
images\augmented\9_4_flip4.jpg,0
images\augmented\9_4_gray.jpg,0
images\augmented\9_4_original.jpg,0
images\augmented\9_4_sobel.jpg,0
images\augmented\9_5_flip.jpg,0
images\augmented\9_5_flip3.jpg,0
images\augmented\9_5_flip4.jpg,0
images\augmented\9_5_gray.jpg,0
images\augmented\9_5_original.jpg,0
images\augmented\9_5_sobel.jpg,0
images\augmented\9_6_flip.jpg,0
images\augmented\9_6_flip3.jpg,0
images\augmented\9_6_flip4.jpg,0
images\augmented\9_6_gray.jpg,0
images\augmented\9_6_original.jpg,0
images\augmented\9_6_sobel.jpg,0
images\augmented\9_7_flip.jpg,0
images\augmented\9_7_flip3.jpg,0
images\augmented\9_7_flip4.jpg,0
images\augmented\9_7_gray.jpg,0
images\augmented\9_7_original.jpg,0
images\augmented\9_7_sobel.jpg,0
images\augmented\11_1_flip.jpg,0
images\augmented\11_1_flip3.jpg,0
images\augmented\11_1_flip4.jpg,0
images\augmented\11_1_gray.jpg,0
images\augmented\11_1_original.jpg,0
images\augmented\11_1_sobel.jpg,0
images\augmented\11_2_flip.jpg,0
images\augmented\11_2_flip3.jpg,0
images\augmented\11_2_flip4.jpg,0
images\augmented\11_2_gray.jpg,0
images\augmented\11_2_original.jpg,0
images\augmented\11_2_sobel.jpg,0
images\augmented\11_3_flip.jpg,0
images\augmented\11_3_flip3.jpg,0
images\augmented\11_3_flip4.jpg,0
images\augmented\11_3_gray.jpg,0
images\augmented\11_3_original.jpg,0
images\augmented\11_3_sobel.jpg,0
images\augmented\11_4_flip.jpg,0
images\augmented\11_4_flip3.jpg,0
images\augmented\11_4_flip4.jpg,0
images\augmented\11_4_gray.jpg,0
images\augmented\11_4_original.jpg,0
images\augmented\11_4_sobel.jpg,0
images\augmented\11_5_flip.jpg,0
images\augmented\11_5_flip3.jpg,0
images\augmented\11_5_flip4.jpg,0
images\augmented\11_5_gray.jpg,0
images\augmented\11_5_original.jpg,0
images\augmented\11_5_sobel.jpg,0
images\augmented\11_6_flip.jpg,0
images\augmented\11_6_flip3.jpg,0
images\augmented\11_6_flip4.jpg,0
images\augmented\11_6_gray.jpg,0
images\augmented\11_6_original.jpg,0
images\augmented\11_6_sobel.jpg,0
images\augmented\11_7_flip.jpg,0
images\augmented\11_7_flip3.jpg,0
images\augmented\11_7_flip4.jpg,0
images\augmented\11_7_gray.jpg,0
images\augmented\11_7_original.jpg,0
images\augmented\11_7_sobel.jpg,0
images\augmented\11_8_flip.jpg,0
images\augmented\11_8_flip3.jpg,0
images\augmented\11_8_flip4.jpg,0
images\augmented\11_8_gray.jpg,0
images\augmented\11_8_original.jpg,0
images\augmented\11_8_sobel.jpg,0
images\augmented\12_1_flip.jpg,0
images\augmented\12_1_flip3.jpg,0
images\augmented\12_1_flip4.jpg,0
images\augmented\12_1_gray.jpg,0
images\augmented\12_1_original.jpg,0
images\augmented\12_1_sobel.jpg,0
images\augmented\12_2_flip.jpg,0
images\augmented\12_2_flip3.jpg,0
images\augmented\12_2_flip4.jpg,0
images\augmented\12_2_gray.jpg,0
images\augmented\12_2_original.jpg,0
images\augmented\12_2_sobel.jpg,0
images\augmented\12_3_flip.jpg,0
images\augmented\12_3_flip3.jpg,0
images\augmented\12_3_flip4.jpg,0
images\augmented\12_3_gray.jpg,0
images\augmented\12_3_original.jpg,0
images\augmented\12_3_sobel.jpg,0
images\augmented\12_4_flip.jpg,0
images\augmented\12_4_flip3.jpg,0
images\augmented\12_4_flip4.jpg,0
images\augmented\12_4_gray.jpg,0
images\augmented\12_4_original.jpg,0
images\augmented\12_4_sobel.jpg,0
images\augmented\12_5_flip.jpg,0
images\augmented\12_5_flip3.jpg,0
images\augmented\12_5_flip4.jpg,0
images\augmented\12_5_gray.jpg,0
images\augmented\12_5_original.jpg,0
images\augmented\12_5_sobel.jpg,0
images\augmented\12_6_flip.jpg,0
images\augmented\12_6_flip3.jpg,0
images\augmented\12_6_flip4.jpg,0
images\augmented\12_6_gray.jpg,0
images\augmented\12_6_original.jpg,0
images\augmented\12_6_sobel.jpg,0
images\augmented\12_7_flip.jpg,0
images\augmented\12_7_flip3.jpg,0
images\augmented\12_7_flip4.jpg,0
images\augmented\12_7_gray.jpg,0
images\augmented\12_7_original.jpg,0
images\augmented\12_7_sobel.jpg,0
images\augmented\12_8_flip.jpg,0
images\augmented\12_8_flip3.jpg,0
images\augmented\12_8_flip4.jpg,0
images\augmented\12_8_gray.jpg,0
images\augmented\12_8_original.jpg,0
images\augmented\12_8_sobel.jpg,0
images\augmented\12_9_flip.jpg,0
images\augmented\12_9_flip3.jpg,0
images\augmented\12_9_flip4.jpg,0
images\augmented\12_9_gray.jpg,0
images\augmented\12_9_original.jpg,0
images\augmented\12_9_sobel.jpg,0
images\augmented\13_1_flip.jpg,0
images\augmented\13_1_flip3.jpg,0
images\augmented\13_1_flip4.jpg,0
images\augmented\13_1_gray.jpg,0
images\augmented\13_1_original.jpg,0
images\augmented\13_1_sobel.jpg,0
images\augmented\13_2_flip.jpg,0
images\augmented\13_2_flip3.jpg,0
images\augmented\13_2_flip4.jpg,0
images\augmented\13_2_gray.jpg,0
images\augmented\13_2_original.jpg,0
images\augmented\13_2_sobel.jpg,0
images\augmented\13_4_flip.jpg,0
images\augmented\13_4_flip3.jpg,0
images\augmented\13_4_flip4.jpg,0
images\augmented\13_4_gray.jpg,0
images\augmented\13_4_original.jpg,0
images\augmented\13_4_sobel.jpg,0
images\augmented\13_5_flip.jpg,0
images\augmented\13_5_flip3.jpg,0
images\augmented\13_5_flip4.jpg,0
images\augmented\13_5_gray.jpg,0
images\augmented\13_5_original.jpg,0
images\augmented\13_5_sobel.jpg,0
images\augmented\13_6_flip.jpg,0
images\augmented\13_6_flip3.jpg,0
images\augmented\13_6_flip4.jpg,0
images\augmented\13_6_gray.jpg,0
images\augmented\13_6_original.jpg,0
images\augmented\13_6_sobel.jpg,0
images\augmented\14_1_flip.jpg,0
images\augmented\14_1_flip3.jpg,0
images\augmented\14_1_flip4.jpg,0
images\augmented\14_1_gray.jpg,0
images\augmented\14_1_original.jpg,0
images\augmented\14_1_sobel.jpg,0
images\augmented\14_2_flip.jpg,0
images\augmented\14_2_flip3.jpg,0
images\augmented\14_2_flip4.jpg,0
images\augmented\14_2_gray.jpg,0
images\augmented\14_2_original.jpg,0
images\augmented\14_2_sobel.jpg,0
images\augmented\14_3_flip.jpg,0
images\augmented\14_3_flip3.jpg,0
images\augmented\14_3_flip4.jpg,0
images\augmented\14_3_gray.jpg,0
images\augmented\14_3_original.jpg,0
images\augmented\14_3_sobel.jpg,0
images\augmented\14_4_flip.jpg,0
images\augmented\14_4_flip3.jpg,0
images\augmented\14_4_flip4.jpg,0
images\augmented\14_4_gray.jpg,0
images\augmented\14_4_original.jpg,0
images\augmented\14_4_sobel.jpg,0
images\augmented\14_5_flip.jpg,0
images\augmented\14_5_flip3.jpg,0
images\augmented\14_5_flip4.jpg,0
images\augmented\14_5_gray.jpg,0
images\augmented\14_5_original.jpg,0
images\augmented\14_5_sobel.jpg,0
images\augmented\14_6_flip.jpg,0
images\augmented\14_6_flip3.jpg,0
images\augmented\14_6_flip4.jpg,0
images\augmented\14_6_gray.jpg,0
images\augmented\14_6_original.jpg,0
images\augmented\14_6_sobel.jpg,0
images\augmented\14_8_flip.jpg,0
images\augmented\14_8_flip3.jpg,0
images\augmented\14_8_flip4.jpg,0
images\augmented\14_8_gray.jpg,0
images\augmented\14_8_original.jpg,0
images\augmented\14_8_sobel.jpg,0
images\augmented\16_1_flip.jpg,0
images\augmented\16_1_flip3.jpg,0
images\augmented\16_1_flip4.jpg,0
images\augmented\16_1_gray.jpg,0
images\augmented\16_1_original.jpg,0
images\augmented\16_1_sobel.jpg,0
images\augmented\16_2_flip.jpg,0
images\augmented\16_2_flip3.jpg,0
images\augmented\16_2_flip4.jpg,0
images\augmented\16_2_gray.jpg,0
images\augmented\16_2_original.jpg,0
images\augmented\16_2_sobel.jpg,0
images\augmented\16_5_flip.jpg,0
images\augmented\16_5_flip3.jpg,0
images\augmented\16_5_flip4.jpg,0
images\augmented\16_5_gray.jpg,0
images\augmented\16_5_original.jpg,0
images\augmented\16_5_sobel.jpg,0
images\augmented\16_6_flip.jpg,0
images\augmented\16_6_flip3.jpg,0
images\augmented\16_6_flip4.jpg,0
images\augmented\16_6_gray.jpg,0
images\augmented\16_6_original.jpg,0
images\augmented\16_6_sobel.jpg,0
images\augmented\16_7_flip.jpg,0
images\augmented\16_7_flip3.jpg,0
images\augmented\16_7_flip4.jpg,0
images\augmented\16_7_gray.jpg,0
images\augmented\16_7_original.jpg,0
images\augmented\16_7_sobel.jpg,0
images\augmented\16_8_flip.jpg,0
images\augmented\16_8_flip3.jpg,0
images\augmented\16_8_flip4.jpg,0
images\augmented\16_8_gray.jpg,0
images\augmented\16_8_original.jpg,0
images\augmented\16_8_sobel.jpg,0
images\augmented\16_9_flip.jpg,0
images\augmented\16_9_flip3.jpg,0
images\augmented\16_9_flip4.jpg,0
images\augmented\16_9_gray.jpg,0
images\augmented\16_9_original.jpg,0
images\augmented\16_9_sobel.jpg,0
images\augmented\17_1_flip.jpg,0
images\augmented\17_1_flip3.jpg,0
images\augmented\17_1_flip4.jpg,0
images\augmented\17_1_gray.jpg,0
images\augmented\17_1_original.jpg,0
images\augmented\17_1_sobel.jpg,0
images\augmented\17_2_flip.jpg,0
images\augmented\17_2_flip3.jpg,0
images\augmented\17_2_flip4.jpg,0
images\augmented\17_2_gray.jpg,0
images\augmented\17_2_original.jpg,0
images\augmented\17_2_sobel.jpg,0
images\augmented\17_3_flip.jpg,0
images\augmented\17_3_flip3.jpg,0
images\augmented\17_3_flip4.jpg,0
images\augmented\17_3_gray.jpg,0
images\augmented\17_3_original.jpg,0
images\augmented\17_3_sobel.jpg,0
images\augmented\17_4_flip.jpg,0
images\augmented\17_4_flip3.jpg,0
images\augmented\17_4_flip4.jpg,0
images\augmented\17_4_gray.jpg,0
images\augmented\17_4_original.jpg,0
images\augmented\17_4_sobel.jpg,0
images\augmented\17_5_flip.jpg,0
images\augmented\17_5_flip3.jpg,0
images\augmented\17_5_flip4.jpg,0
images\augmented\17_5_gray.jpg,0
images\augmented\17_5_original.jpg,0
images\augmented\17_5_sobel.jpg,0
images\augmented\17_6_flip.jpg,0
images\augmented\17_6_flip3.jpg,0
images\augmented\17_6_flip4.jpg,0
images\augmented\17_6_gray.jpg,0
images\augmented\17_6_original.jpg,0
images\augmented\17_6_sobel.jpg,0
images\augmented\17_7_flip.jpg,0
images\augmented\17_7_flip3.jpg,0
images\augmented\17_7_flip4.jpg,0
images\augmented\17_7_gray.jpg,0
images\augmented\17_7_original.jpg,0
images\augmented\17_7_sobel.jpg,0
images\augmented\17_8_flip.jpg,0
images\augmented\17_8_flip3.jpg,0
images\augmented\17_8_flip4.jpg,0
images\augmented\17_8_gray.jpg,0
images\augmented\17_8_original.jpg,0
images\augmented\17_8_sobel.jpg,0
images\augmented\17_9_flip.jpg,0
images\augmented\17_9_flip3.jpg,0
images\augmented\17_9_flip4.jpg,0
images\augmented\17_9_gray.jpg,0
images\augmented\17_9_original.jpg,0
images\augmented\17_9_sobel.jpg,0
images\augmented\18_1_flip.jpg,0
images\augmented\18_1_flip3.jpg,0
images\augmented\18_1_flip4.jpg,0
images\augmented\18_1_gray.jpg,0
images\augmented\18_1_original.jpg,0
images\augmented\18_1_sobel.jpg,0
images\augmented\18_2_flip.jpg,0
images\augmented\18_2_flip3.jpg,0
images\augmented\18_2_flip4.jpg,0
images\augmented\18_2_gray.jpg,0
images\augmented\18_2_original.jpg,0
images\augmented\18_2_sobel.jpg,0
images\augmented\18_3_flip.jpg,0
images\augmented\18_3_flip3.jpg,0
images\augmented\18_3_flip4.jpg,0
images\augmented\18_3_gray.jpg,0
images\augmented\18_3_original.jpg,0
images\augmented\18_3_sobel.jpg,0
images\augmented\18_5_flip.jpg,0
images\augmented\18_5_flip3.jpg,0
images\augmented\18_5_flip4.jpg,0
images\augmented\18_5_gray.jpg,0
images\augmented\18_5_original.jpg,0
images\augmented\18_5_sobel.jpg,0
images\augmented\18_6_flip.jpg,0
images\augmented\18_6_flip3.jpg,0
images\augmented\18_6_flip4.jpg,0
images\augmented\18_6_gray.jpg,0
images\augmented\18_6_original.jpg,0
images\augmented\18_6_sobel.jpg,0
images\augmented\18_7_flip.jpg,0
images\augmented\18_7_flip3.jpg,0
images\augmented\18_7_flip4.jpg,0
images\augmented\18_7_gray.jpg,0
images\augmented\18_7_original.jpg,0
images\augmented\18_7_sobel.jpg,0
images\augmented\19_1_flip.jpg,0
images\augmented\19_1_flip3.jpg,0
images\augmented\19_1_flip4.jpg,0
images\augmented\19_1_gray.jpg,0
images\augmented\19_1_original.jpg,0
images\augmented\19_1_sobel.jpg,0
images\augmented\19_2_flip.jpg,0
images\augmented\19_2_flip3.jpg,0
images\augmented\19_2_flip4.jpg,0
images\augmented\19_2_gray.jpg,0
images\augmented\19_2_original.jpg,0
images\augmented\19_2_sobel.jpg,0
images\augmented\19_3_flip.jpg,0
images\augmented\19_3_flip3.jpg,0
images\augmented\19_3_flip4.jpg,0
images\augmented\19_3_gray.jpg,0
images\augmented\19_3_original.jpg,0
images\augmented\19_3_sobel.jpg,0
images\augmented\19_4_flip.jpg,0
images\augmented\19_4_flip3.jpg,0
images\augmented\19_4_flip4.jpg,0
images\augmented\19_4_gray.jpg,0
images\augmented\19_4_original.jpg,0
images\augmented\19_4_sobel.jpg,0
images\augmented\19_5_flip.jpg,0
images\augmented\19_5_flip3.jpg,0
images\augmented\19_5_flip4.jpg,0
images\augmented\19_5_gray.jpg,0
images\augmented\19_5_original.jpg,0
images\augmented\19_5_sobel.jpg,0
images\augmented\19_6_flip.jpg,0
images\augmented\19_6_flip3.jpg,0
images\augmented\19_6_flip4.jpg,0
images\augmented\19_6_gray.jpg,0
images\augmented\19_6_original.jpg,0
images\augmented\19_6_sobel.jpg,0
images\augmented\19_7_flip.jpg,0
images\augmented\19_7_flip3.jpg,0
images\augmented\19_7_flip4.jpg,0
images\augmented\19_7_gray.jpg,0
images\augmented\19_7_original.jpg,0
images\augmented\19_7_sobel.jpg,0
images\augmented\19_9_flip.jpg,0
images\augmented\19_9_flip3.jpg,0
images\augmented\19_9_flip4.jpg,0
images\augmented\19_9_gray.jpg,0
images\augmented\19_9_original.jpg,0
images\augmented\19_9_sobel.jpg,0
images\augmented\21_1_flip.jpg,0
images\augmented\21_1_flip3.jpg,0
images\augmented\21_1_flip4.jpg,0
images\augmented\21_1_gray.jpg,0
images\augmented\21_1_original.jpg,0
images\augmented\21_1_sobel.jpg,0
images\augmented\21_2_flip.jpg,0
images\augmented\21_2_flip3.jpg,0
images\augmented\21_2_flip4.jpg,0
images\augmented\21_2_gray.jpg,0
images\augmented\21_2_original.jpg,0
images\augmented\21_2_sobel.jpg,0
images\augmented\21_4_flip.jpg,0
images\augmented\21_4_flip3.jpg,0
images\augmented\21_4_flip4.jpg,0
images\augmented\21_4_gray.jpg,0
images\augmented\21_4_original.jpg,0
images\augmented\21_4_sobel.jpg,0
images\augmented\21_5_flip.jpg,0
images\augmented\21_5_flip3.jpg,0
images\augmented\21_5_flip4.jpg,0
images\augmented\21_5_gray.jpg,0
images\augmented\21_5_original.jpg,0
images\augmented\21_5_sobel.jpg,0
images\augmented\22_1_flip.jpg,0
images\augmented\22_1_flip3.jpg,0
images\augmented\22_1_flip4.jpg,0
images\augmented\22_1_gray.jpg,0
images\augmented\22_1_original.jpg,0
images\augmented\22_1_sobel.jpg,0
images\augmented\22_2_flip.jpg,0
images\augmented\22_2_flip3.jpg,0
images\augmented\22_2_flip4.jpg,0
images\augmented\22_2_gray.jpg,0
images\augmented\22_2_original.jpg,0
images\augmented\22_2_sobel.jpg,0
images\augmented\22_4_flip.jpg,0
images\augmented\22_4_flip3.jpg,0
images\augmented\22_4_flip4.jpg,0
images\augmented\22_4_gray.jpg,0
images\augmented\22_4_original.jpg,0
images\augmented\22_4_sobel.jpg,0
images\augmented\22_5_flip.jpg,0
images\augmented\22_5_flip3.jpg,0
images\augmented\22_5_flip4.jpg,0
images\augmented\22_5_gray.jpg,0
images\augmented\22_5_original.jpg,0
images\augmented\22_5_sobel.jpg,0
images\augmented\22_6_flip.jpg,0
images\augmented\22_6_flip3.jpg,0
images\augmented\22_6_flip4.jpg,0
images\augmented\22_6_gray.jpg,0
images\augmented\22_6_original.jpg,0
images\augmented\22_6_sobel.jpg,0
images\augmented\22_7_flip.jpg,0
images\augmented\22_7_flip3.jpg,0
images\augmented\22_7_flip4.jpg,0
images\augmented\22_7_gray.jpg,0
images\augmented\22_7_original.jpg,0
images\augmented\22_7_sobel.jpg,0
images\augmented\22_8_flip.jpg,0
